hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
004b0f451f7d96f6a572e9e76360f51a,16.632,19.478,15.483,unsat
008e7716c69009090ff6bd0048dc55f8,17.706,43.392,19.35,unsat
00a981f385cd209d41e1efa1f5f29bac,1.911,3.075,4.661,sat
00b46ace235e3915a439c77a231a5657,716.03,104.704,16.258,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,784.35,2000.0,458.603,sat
00f2eb377986e7decbc863931680a3b2,1.191,3.514,2.553,unsat
00f4aca773e5675f35263dcd46b15bde,1.371,2.496,3.354,sat
017ba03ed108f492c9293c7c95e5cae9,109.462,2000.0,190.602,unsat
0191a0bf3412ed407ba669f8d69081ee,4.394,4.87,6.694,sat
01966a0fc52b2200a13f5f835275a919,9.501,46.68,15.565,unsat
01bd0865ab694bc71d80b7d285d5777d,26.711,26.882,33.576,unsat
01dd5feb463fa80f73809718f6ff735b,18.782,27.815,22.45,unsat
02066c116dbacc40ec5cca2067db26c0,3.517,5.057,4.679,unsat
028d0cc7af63e9bba5795f20e24db4f6,2.419,2.288,2.741,sat
0297c2a35f116ffd5382aea5b421e6df,1.606,2.637,2.732,unsat
02c6fe8483e4f4474b7ac9731772535d,26.036,43.697,99.558,unsat
0336f81b60baac5b8f481dd3c32861a5,2.711,4.787,7.579,sat
036b541db9d0839b0591d408ff4f77ae,24.32,22.607,41.695,unsat
037c423f56548082b1935e88c48ffdda,1.228,1.773,2.357,sat
037d21e060a2e3eab8b080aa84ceee75,1.494,2.189,2.778,sat
03a43a7ea55217f53542ed3f029963af,551.143,253.332,556.607,unsat
03de316ba1e90305471a3b8620cb9cd7,1.304,1.682,2.439,sat
03e9d1abe418a1727bbf2ead77d69d02,67.858,203.01,85.621,unsat
06b138e8a6da806e88ac7da2919cef30,2000.0,47.48,42.602,unsat
075ca0a158690a55b7254d9aaee2e103,37.659,18.588,26.772,unsat
0811f761eee5e4ef28196fd98884a67b,69.426,195.899,112.569,unsat
08455b2e1e6fda910989f0481a20f1c3,58.04,40.555,60.391,unsat
090eefb9bc472f6478e70baf2c6d2403,585.673,417.48,2000.0,sat
0945c95ba9b82c32d12fc9d9e5229c5a,2000.0,2000.0,2000.0,unknown
096ac97e4261eabca440fc7bc135d7c0,13.79,15.194,25.546,sat
0982db5b0b15642e79e8242881529b39,2000.0,2000.0,2000.0,unknown
0a279c478775cdeede51ad431aebf200,2000.0,2000.0,2000.0,sat
0a4ed112f2cdc0a524976a15d1821097,213.638,2000.0,2000.0,unsat
