hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat_incsp,tabularasat-1.0.0,vresult
004b0f451f7d96f6a572e9e76360f51a,250.378,233.16,109.098,162.387,98.0415,30.8188,34.2535,73.8282,78.58,72.7538,190.578,70.6368,73.1858,41.5671,36.3468,36.1264,302.53,314.186,1391.96,755.911,124.684,304.577,394.936,10000.0,120.643,120.073,77.2806,194.557,566.487,60.3213,63.7212,59.347,57.8836,183.546,72.8223,75.0314,78.93,90.3144,127.933,46.3873,33.4638,180.042,unsat
008e7716c69009090ff6bd0048dc55f8,1662.94,231.672,1082.5,334.948,667.884,1709.58,217.684,177.967,159.487,186.896,230.839,208.948,159.403,146.892,164.239,165.34,1123.01,746.675,1191.52,1013.29,10000.0,10000.0,4060.01,10000.0,274.779,479.817,159.768,1067.09,141.375,207.171,221.691,202.225,254.116,235.037,216.209,191.385,139.005,168.609,172.446,159.572,214.006,450.068,unsat
00a981f385cd209d41e1efa1f5f29bac,9.48159,7.26599,7.7357,7.66768,10.3904,5.73586,6.67063,3.5857,3.55366,4.72682,4.99964,6.08348,5.02499,6.28587,4.64702,4.62724,9.91591,10.1682,11.438,5.77514,15.6617,8.67502,7.32721,107.762,104.693,307.736,7.71609,6.75744,9.00588,3.94628,3.93951,5.41724,3.3291,4.95554,3.38771,5.0953,3.66601,4.83113,3.72976,3.56513,6.13771,2.42039,sat
00b46ace235e3915a439c77a231a5657,4773.34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
00f2eb377986e7decbc863931680a3b2,18.2769,11.1352,8.38043,8.63936,8.59387,17.3288,5.04577,4.51083,3.93375,4.1084,4.35666,4.12671,4.42203,5.82963,4.75581,109.432,10.0598,10.7874,9.14869,10.7581,10.4311,8.56607,9.85889,104.911,111.705,311.966,12.0602,7.15152,11.4241,4.68295,4.66588,4.66402,3.49542,4.81684,5.29742,3.31533,6.71376,4.87671,4.90843,4.85663,4.61422,12.3779,unsat
00f4aca773e5675f35263dcd46b15bde,62.1947,16.347,378.184,370.669,696.554,925.457,147.037,228.758,199.828,54.0175,15.9731,229.129,54.7804,87.704,71.4933,72.1851,113.624,168.037,4.02324,119.254,154.108,274.168,155.393,82.8267,254.849,469.131,60.1702,54.6429,89.4148,27.2565,27.8748,27.6767,60.9569,238.529,619.266,368.002,340.279,35.7032,5.15419,4.15523,138.006,100.297,sat
017ba03ed108f492c9293c7c95e5cae9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
0191a0bf3412ed407ba669f8d69081ee,25.1406,20.5446,51.5577,47.683,80.2928,104.422,14.3833,24.4168,8.64111,16.7715,24.2283,30.2858,17.1539,14.0673,13.4261,114.379,57.0517,68.3221,81.5508,56.6362,72.427,16.7248,27.3219,2317.92,123.776,323.854,26.1378,17.7206,15.3863,33.7442,20.8428,13.6726,456.56,188.588,24.6639,291.104,15.4902,26.5869,21.2686,22.2267,15.7984,20.9784,sat
01966a0fc52b2200a13f5f835275a919,10000.0,10000.0,10000.0,10000.0,4805.26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4909.54,10000.0,10000.0,10000.0,10000.0,10000.0,2226.51,2431.53,2702.77,10000.0,3303.93,4045.23,4040.15,4050.68,10000.0,10000.0,10000.0,10000.0,3711.41,10000.0,10000.0,10000.0,10000.0,2423.68,unsat
01bd0865ab694bc71d80b7d285d5777d,118.548,108.942,63.0952,67.33,75.29,641.199,127.311,81.6189,92.9601,89.5415,84.4108,110.678,84.7838,92.5534,72.4448,73.3177,93.2729,83.8572,92.7984,102.472,72.5902,259.948,76.6905,10000.0,120.34,121.132,118.429,80.0002,121.912,91.8464,91.0984,96.5421,106.016,89.2794,97.0603,81.0841,104.182,84.2787,92.41,88.7453,74.9778,134.677,unsat
