hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,Cadical_rel_Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat-pre-sc23,kissat_incsp,tabularasat-1.0.0
00b46ace235e3915a439c77a231a5657,4773.34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
00bb0b4ef28ed38c49de4c54b9fabc4d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1159.25,10000.0,10000.0
017ba03ed108f492c9293c7c95e5cae9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,125.675,10000.0,10000.0
03e9d1abe418a1727bbf2ead77d69d02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
06b138e8a6da806e88ac7da2919cef30,1151.49,326.975,315.952,321.479,238.669,240.462,10000.0,191.054,338.423,285.051,273.288,299.47,184.52,274.079,251.553,238.62,241.325,268.061,272.598,307.677,466.046,2197.06,1060.38,2284.69,10000.0,474.008,713.722,388.709,332.346,292.111,338.367,372.878,301.581,121.974,151.142,136.541,137.748,267.099,255.602,228.212,285.101,275.643,141.749,522.841
075ca0a158690a55b7254d9aaee2e103,194.325,226.828,228.104,228.455,239.91,241.404,10000.0,496.31,2935.97,454.364,1030.11,506.962,1547.25,458.627,594.563,580.527,566.003,298.389,273.688,243.881,271.648,391.642,549.387,409.774,10000.0,1411.76,1611.18,1282.63,235.249,1394.12,181.614,181.923,183.145,10000.0,478.029,486.892,10000.0,175.791,3496.85,597.853,601.609,527.122,1006.65,925.819
0811f761eee5e4ef28196fd98884a67b,2631.87,3622.71,3483.18,3628.7,3456.25,3440.21,10000.0,4307.57,4092.22,3561.94,3817.2,3513.81,4410.43,3775.81,3064.31,3242.84,3279.96,3415.62,3583.03,3220.56,3087.32,10000.0,10000.0,10000.0,10000.0,3178.21,3305.95,3258.28,3402.52,3593.23,10000.0,10000.0,4925.48,3139.64,2560.1,2910.37,3051.79,10000.0,3702.63,3422.99,4325.79,26.4523,3572.0,10000.0
08455b2e1e6fda910989f0481a20f1c3,163.623,1044.89,267.278,267.606,276.093,279.31,347.523,291.836,141.295,140.779,139.315,214.28,140.733,140.604,79.5593,79.5698,80.2842,269.799,272.679,274.396,307.365,114.147,264.158,690.959,10000.0,459.932,448.113,1052.22,468.449,707.307,85.4127,88.1171,87.0736,165.164,181.637,266.1,617.26,220.784,128.67,245.939,173.031,73.3762,279.636,104.148
090eefb9bc472f6478e70baf2c6d2403,10000.0,10000.0,794.096,1380.7,1548.3,1543.84,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2345.11,2406.47,1046.4,2303.32,10000.0,4765.68,10000.0,10000.0,10000.0,10000.0,10000.0,1826.64,10000.0,3203.22,4388.37,1478.86,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0945c95ba9b82c32d12fc9d9e5229c5a,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
096ac97e4261eabca440fc7bc135d7c0,23.3303,131.502,209.75,290.391,236.788,235.557,10000.0,78.523,195.652,241.372,34.5928,170.035,106.03,34.594,87.0336,57.7025,57.5852,251.89,241.127,248.454,269.153,514.499,144.674,480.443,57.7248,143.024,319.761,68.9669,175.609,164.826,44.254,235.53,171.926,10000.0,10000.0,325.49,10000.0,231.626,421.226,80.0179,218.155,45.9689,51.9715,118.224
0982db5b0b15642e79e8242881529b39,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0a279c478775cdeede51ad431aebf200,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,601.884,10000.0,10000.0
0a4ed112f2cdc0a524976a15d1821097,10000.0,0.569523,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,872.705,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0ae0c5a4fb9001d63669a0aa5b592167,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2903.44,10000.0,10000.0
