hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
004b0f451f7d96f6a572e9e76360f51a,17.337,28.708,21.384,30.013,10.41,20.002,11.101,433.255,46.379,47.957,51.127,49.905,63.984,27.366,430.24,unsat
008e7716c69009090ff6bd0048dc55f8,48.53,51.862,51.8,71.614,48.991,109.097,91.096,211.808,88.954,80.398,87.406,67.391,62.383,73.448,75.988,unsat
00a981f385cd209d41e1efa1f5f29bac,1.503,1.387,1.16,1.674,1.045,1.184,1.183,67.144,1.513,2.543,1.526,1.58,1.586,0.881,3.85,sat
00b46ace235e3915a439c77a231a5657,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4294.521,4933.81,10000.0,10000.0,10000.0,10000.0,10000.0,2695.507,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,216.078,10000.0,sat
00f2eb377986e7decbc863931680a3b2,2.632,1.203,2.87,2.985,0.747,3.04,2.038,8.105,1.676,2.075,2.073,2.076,2.078,1.738,0.655,unsat
00f4aca773e5675f35263dcd46b15bde,6.516,3.016,3.301,5.088,4.841,6.059,1.056,31.102,2.529,2.118,20.127,2.12,4.166,1.583,142.341,sat
017ba03ed108f492c9293c7c95e5cae9,978.016,2772.916,841.585,868.8,1029.465,2104.184,1929.171,10000.0,714.686,1852.231,1792.232,705.13,638.142,22.97,710.713,unsat
0191a0bf3412ed407ba669f8d69081ee,3.585,3.611,7.771,5.323,2.316,8.064,7.066,24.19,3.729,7.148,6.148,5.146,4.192,7.21,19.993,sat
01966a0fc52b2200a13f5f835275a919,64.516,167.166,70.015,56.72,66.18,904.11,554.089,3377.513,268.798,476.168,448.161,326.147,362.174,259.121,425.049,unsat
01bd0865ab694bc71d80b7d285d5777d,76.942,23.309,64.42,79.547,59.442,54.144,68.227,997.47,66.145,68.38,64.388,58.214,54.339,55.767,67.6,unsat
01dd5feb463fa80f73809718f6ff735b,93.858,48.71,108.454,107.064,87.136,43.418,30.417,355.615,28.597,35.417,36.429,29.133,27.951,27.73,85.111,unsat
02066c116dbacc40ec5cca2067db26c0,3.576,1.284,4.565,4.853,1.987,4.039,3.038,92.094,2.676,3.059,3.061,3.06,3.067,2.73,4.537,unsat
028d0cc7af63e9bba5795f20e24db4f6,0.238,0.179,0.773,0.888,0.288,2.048,1.047,33.205,0.492,1.16,1.159,1.166,1.171,0.335,1.849,sat
0297c2a35f116ffd5382aea5b421e6df,1.169,0.755,1.972,2.255,0.86,8.033,3.032,4.438,0.838,1.035,1.034,1.036,1.036,0.898,1.047,unsat
02c6fe8483e4f4474b7ac9731772535d,75.363,611.512,47.705,62.537,64.009,77.719,116.066,730.966,55.678,54.157,54.004,47.332,47.975,25.661,562.445,unsat
0336f81b60baac5b8f481dd3c32861a5,5.869,29.341,7.779,14.089,2.843,79.082,11.075,139.405,9.648,7.132,6.133,3.132,13.193,8.612,44.765,sat
036b541db9d0839b0591d408ff4f77ae,22.616,22.71,36.697,42.606,20.997,51.431,35.37,735.617,37.375,46.126,46.094,41.829,43.045,42.955,178.965,unsat
037c423f56548082b1935e88c48ffdda,0.057,0.039,0.671,0.684,0.057,1.031,1.031,0.683,0.136,1.033,1.034,1.035,1.036,0.196,0.847,sat
037d21e060a2e3eab8b080aa84ceee75,0.367,1.232,0.869,0.983,0.324,1.069,1.069,12.227,0.53,1.141,1.142,1.144,1.21,0.446,1.947,sat
03a43a7ea55217f53542ed3f029963af,800.77,10000.0,1859.764,2299.221,610.387,1700.174,1155.165,10000.0,1878.865,2015.338,3633.489,1778.313,1619.336,1342.617,10000.0,unsat
03de316ba1e90305471a3b8620cb9cd7,0.051,0.053,0.566,0.583,0.052,1.032,1.033,0.41,0.054,1.043,1.044,1.045,1.049,0.106,0.654,sat
03e9d1abe418a1727bbf2ead77d69d02,1060.523,10000.0,1129.656,967.709,1045.089,10000.0,10000.0,10000.0,2146.31,10000.0,10000.0,3810.393,3874.493,1997.035,4830.482,unsat
06b138e8a6da806e88ac7da2919cef30,94.463,54.346,116.454,143.708,95.583,72.153,74.182,3195.088,80.782,77.786,75.807,67.777,68.757,78.795,239.905,unsat
075ca0a158690a55b7254d9aaee2e103,110.872,35.217,185.499,187.837,87.364,230.157,291.159,381.02,137.21,63.558,60.553,16.51,17.509,182.527,57.586,unsat
0811f761eee5e4ef28196fd98884a67b,400.764,811.168,440.985,563.734,395.518,878.098,782.093,10000.0,416.729,957.15,969.151,403.096,428.118,6.482,389.716,unsat
08455b2e1e6fda910989f0481a20f1c3,183.154,176.831,249.167,66.253,95.733,70.941,55.972,10000.0,150.279,50.315,49.309,46.487,46.339,43.087,135.354,unsat
090eefb9bc472f6478e70baf2c6d2403,10000.0,3311.212,2959.504,2965.72,10000.0,3288.943,2030.997,10000.0,2487.646,2524.551,4382.478,10000.0,10000.0,2003.162,10000.0,sat
0945c95ba9b82c32d12fc9d9e5229c5a,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
096ac97e4261eabca440fc7bc135d7c0,19.668,29.001,16.67,38.699,14.725,30.591,19.584,183.665,16.56,17.58,20.555,14.863,21.87,18.254,288.148,sat
0982db5b0b15642e79e8242881529b39,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
0a279c478775cdeede51ad431aebf200,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1859.637,10000.0,1850.227,10000.0,10000.0,140.979,10000.0,sat
0a4ed112f2cdc0a524976a15d1821097,10000.0,10000.0,3490.257,4585.544,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
0ae0c5a4fb9001d63669a0aa5b592167,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,490.425,10000.0,unsat
0be1e12a8e7282d1a4e389bb90f6dbc7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
0c9da400944b002f90fd385d4fdab385,33.503,21.122,30.093,36.508,28.542,38.411,38.365,1710.84,30.895,1.834,1.848,1.853,2.418,30.0,1.939,sat
0d3e99a07b6a6b67ac59d706c0af9d68,811.842,610.034,708.821,905.879,813.394,608.371,487.362,10000.0,866.085,632.354,646.404,705.303,851.395,802.605,721.92,unsat
0eb98926b26343d31954169dfbde2b24,10000.0,349.993,307.015,225.557,10000.0,10000.0,10000.0,1537.286,121.138,213.978,208.991,64.971,65.957,121.52,292.327,unsat
0ef0d91d378eab41ba6fb9dfc9b87fc8,469.996,701.828,447.122,514.92,416.547,1194.311,731.261,2260.904,321.736,652.232,582.084,381.493,393.37,369.94,1043.663,unsat
10196804504080e7107809a2e5b3bfcc,5.227,17.74,25.68,4.849,18.072,6.112,9.113,110.728,26.052,61.316,7.293,23.321,38.353,48.581,15.165,sat
112b0ac22b2a567cd3badfed3a5497fd,11.313,47.446,14.086,16.286,7.534,18.037,18.043,144.55,7.081,17.045,14.044,13.046,13.047,0.065,16.254,unsat
1153a473e1d5dd21ccd33189d594a4aa,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
11db226d109e82f93aaa3b2604173ff9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.627,unsat
14a5ff0d6213dcfe182ec656764bbdfb,10000.0,335.892,183.712,137.792,10000.0,505.247,10000.0,1067.227,91.26,163.982,159.971,48.968,51.979,94.116,186.185,unsat
150b5f8cac40bb4e0fcbdd65c3c04701,10000.0,10000.0,10000.0,10000.0,1500.033,10000.0,4481.151,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
15a2ec07aaca45d454a2fbfc0624e75e,829.009,779.345,770.847,591.448,447.311,363.147,345.447,10000.0,10000.0,137.893,132.42,116.311,111.859,149.676,603.88,unsat
15c53f73c62a78c24bf5974e4a7afcd8,10000.0,10000.0,10000.0,10000.0,1116.522,10000.0,10000.0,10000.0,10000.0,2007.252,10000.0,10000.0,10000.0,60.888,10000.0,sat
17039a3ed02ea12653ec5389e56dab50,0.136,0.281,0.662,0.67,0.135,1.036,1.035,1.956,0.257,1.049,1.049,1.051,1.058,0.326,0.752,unsat
